"length","ticks","seconds"
15,4,4e-06
1016,267,0.000267
2017,572,0.000572
3018,831,0.000831
4019,1055,0.001055
5020,1266,0.001266
6021,1328,0.001328
7022,1431,0.001431
8023,1555,0.001555
9024,1684,0.001684
10025,1947,0.001947
11026,2106,0.002106
12027,2310,0.00231
13028,2534,0.002534
14029,2727,0.002727
15030,2946,0.002946
16031,3148,0.003148
17032,3376,0.003376
18033,3614,0.003614
19034,3847,0.003847
20035,4064,0.004064
21036,4284,0.004284
22037,4536,0.004536
23038,4750,0.00475
24039,4952,0.004952
25040,5189,0.005189
26041,5419,0.005419
27042,5632,0.005632
28043,5847,0.005847
29044,6074,0.006074
30045,6373,0.006373
31046,6548,0.006548
32047,6750,0.00675
33048,6982,0.006982
34049,7248,0.007248
35050,7496,0.007496
36051,7734,0.007734
37052,7966,0.007966
38053,8244,0.008244
39054,8447,0.008447
40055,8660,0.00866
41056,8942,0.008942
42057,9142,0.009142
43058,9410,0.00941
44059,9659,0.009659
45060,9915,0.009915
46061,10132,0.010132
47062,10354,0.010354
48063,10567,0.010567
49064,10761,0.010761
50065,11113,0.011113
51066,11301,0.011301
52067,11539,0.011539
53068,11742,0.011742
54069,11987,0.011987
55070,12222,0.012222
56071,12441,0.012441
57072,12956,0.012956
58073,12947,0.012947
59074,13175,0.013175
60075,13437,0.013437
61076,13678,0.013678
62077,13977,0.013977
63078,14278,0.014278
64079,14349,0.014349
65080,14541,0.014541
66081,14832,0.014832
67082,15111,0.015111
68083,15370,0.01537
69084,16066,0.016066
70085,15896,0.015896
71086,16206,0.016206
72087,16408,0.016408
73088,16613,0.016613
74089,16845,0.016845
75090,17133,0.017133
76091,17385,0.017385
77092,17655,0.017655
78093,17903,0.017903
79094,18138,0.018138
80095,18364,0.018364
81096,18610,0.01861
82097,18783,0.018783
83098,19073,0.019073
84099,19424,0.019424
85100,23421,0.023421
86101,20015,0.020015
87102,20221,0.020221
88103,20177,0.020177
89104,17767,0.017767
90105,17925,0.017925
91106,17156,0.017156
92107,17329,0.017329
93108,17493,0.017493
94109,17667,0.017667
95110,17864,0.017864
96111,18061,0.018061
97112,18217,0.018217
98113,18545,0.018545
99114,18626,0.018626
100115,18834,0.018834
101116,19077,0.019077
102117,18930,0.01893
103118,18854,0.018854
104119,19050,0.01905
105120,19260,0.01926
106121,19423,0.019423
107122,19645,0.019645
108123,19858,0.019858
109124,19700,0.0197
110125,19594,0.019594
111126,19783,0.019783
112127,19952,0.019952
113128,20107,0.020107
114129,20296,0.020296
115130,20472,0.020472
116131,20692,0.020692
117132,21111,0.021111
118133,21146,0.021146
119134,21356,0.021356
120135,21533,0.021533
121136,21770,0.02177
122137,21996,0.021996
123138,22183,0.022183
