"length","ticks","seconds"
15,2,2e-06
516,87,8.7e-05
1017,169,0.000169
1518,261,0.000261
2019,324,0.000324
2520,395,0.000395
3021,460,0.00046
3522,493,0.000493
4023,526,0.000526
4524,565,0.000565
5025,591,0.000591
5526,611,0.000611
6027,622,0.000622
6528,667,0.000667
7029,717,0.000717
7530,772,0.000772
8031,827,0.000827
8532,890,0.00089
9033,950,0.00095
9534,1012,0.001012
10035,1075,0.001075
10536,1126,0.001126
11037,1183,0.001183
11538,1275,0.001275
12039,1304,0.001304
12540,1363,0.001363
13041,1795,0.001795
13542,1474,0.001474
14043,1531,0.001531
14544,1588,0.001588
15045,1651,0.001651
15546,1709,0.001709
16047,1856,0.001856
16548,2236,0.002236
17049,1891,0.001891
17550,1955,0.001955
18051,2022,0.002022
18552,2078,0.002078
19053,2151,0.002151
19554,2211,0.002211
20055,2272,0.002272
20556,2334,0.002334
21057,2387,0.002387
21558,2460,0.00246
22059,2520,0.00252
22560,2583,0.002583
23061,2646,0.002646
23562,2713,0.002713
24063,2767,0.002767
24564,2815,0.002815
25065,2864,0.002864
25566,2569,0.002569
26067,2674,0.002674
26568,2715,0.002715
27069,2553,0.002553
27570,2484,0.002484
28071,2520,0.00252
28572,2537,0.002537
29073,2615,0.002615
29574,2657,0.002657
30075,2703,0.002703
30576,2768,0.002768
31077,2780,0.00278
31578,2800,0.0028
32079,2991,0.002991
32580,3010,0.00301
33081,3112,0.003112
33582,3089,0.003089
34083,3084,0.003084
34584,3152,0.003152
35085,3226,0.003226
35586,3227,0.003227
36087,3306,0.003306
36588,3372,0.003372
37089,3410,0.00341
37590,3508,0.003508
38091,3601,0.003601
38592,3769,0.003769
39093,3760,0.00376
39594,3658,0.003658
40095,3731,0.003731
40596,3788,0.003788
41097,3800,0.0038
41598,3934,0.003934
42099,3931,0.003931
42600,4004,0.004004
43101,4096,0.004096
43602,4084,0.004084
44103,4077,0.004077
44604,4159,0.004159
45105,4240,0.00424
45606,4301,0.004301
46107,4285,0.004285
46608,4517,0.004517
47109,4663,0.004663
47610,4548,0.004548
48111,4566,0.004566
48612,4612,0.004612
49113,4834,0.004834
49614,4734,0.004734
50115,4860,0.00486
50616,4864,0.004864
51117,4861,0.004861
51618,5015,0.005015
52119,4996,0.004996
52620,5088,0.005088
53121,5022,0.005022
53622,5027,0.005027
54123,5119,0.005119
54624,5209,0.005209
55125,5922,0.005922
55626,7228,0.007228
56127,8195,0.008195
56628,7271,0.007271
57129,6954,0.006954
57630,7034,0.007034
58131,7104,0.007104
58632,7169,0.007169
59133,7234,0.007234
59634,7320,0.00732
60135,7376,0.007376
60636,7445,0.007445
61137,7495,0.007495
61638,7548,0.007548
62139,7625,0.007625
62640,8688,0.008688
63141,7750,0.00775
63642,7819,0.007819
64143,7884,0.007884
64644,7948,0.007948
65145,8011,0.008011
65646,7033,0.007033
66147,6385,0.006385
66648,6451,0.006451
67149,6502,0.006502
67650,6566,0.006566
68151,6641,0.006641
68652,6687,0.006687
69153,6717,0.006717
69654,6765,0.006765
70155,6841,0.006841
70656,7115,0.007115
71157,6906,0.006906
71658,6860,0.00686
72159,6855,0.006855
72660,6889,0.006889
73161,6966,0.006966
73662,6979,0.006979
74163,7046,0.007046
74664,7123,0.007123
75165,7174,0.007174
75666,7211,0.007211
76167,7302,0.007302
76668,7321,0.007321
77169,7382,0.007382
77670,7410,0.00741
78171,7477,0.007477
78672,7531,0.007531
79173,7576,0.007576
79674,7631,0.007631
80175,7695,0.007695
80676,7714,0.007714
81177,7776,0.007776
81678,7812,0.007812
82179,7890,0.00789
82680,7931,0.007931
83181,7993,0.007993
83682,8051,0.008051
84183,8085,0.008085
84684,8284,0.008284
85185,8476,0.008476
85686,8441,0.008441
86187,8554,0.008554
86688,8607,0.008607
87189,11014,0.011014
87690,11161,0.011161
88191,11250,0.01125
88692,9763,0.009763
89193,9399,0.009399
89694,9177,0.009177
90195,8970,0.00897
90696,9035,0.009035
91197,8881,0.008881
91698,8879,0.008879
92199,8944,0.008944
92700,8986,0.008986
93201,9067,0.009067
93702,9084,0.009084
94203,9161,0.009161
94704,9192,0.009192
95205,9246,0.009246
95706,9288,0.009288
96207,9343,0.009343
96708,9395,0.009395
97209,9424,0.009424
97710,9470,0.00947
98211,9542,0.009542
98712,9574,0.009574
99213,9643,0.009643
99714,9705,0.009705
100215,9751,0.009751
100716,9834,0.009834
101217,9877,0.009877
101718,9928,0.009928
102219,9988,0.009988
102720,10142,0.010142
103221,10126,0.010126
103722,10116,0.010116
104223,10516,0.010516
104724,11493,0.011493
105225,11011,0.011011
105726,10956,0.010956
106227,10989,0.010989
106728,11079,0.011079
107229,10795,0.010795
107730,10958,0.010958
108231,11247,0.011247
108732,11325,0.011325
109233,14079,0.014079
109734,14156,0.014156
110235,14197,0.014197
110736,14287,0.014287
111237,14347,0.014347
111738,13474,0.013474
112239,10952,0.010952
112740,10998,0.010998
113241,11033,0.011033
113742,11099,0.011099
114243,11113,0.011113
114744,11176,0.011176
115245,11272,0.011272
115746,11332,0.011332
116247,11389,0.011389
116748,11586,0.011586
117249,13179,0.013179
117750,15170,0.01517
118251,15279,0.015279
118752,15364,0.015364
119253,15434,0.015434
119754,15475,0.015475
120255,15369,0.015369
120756,12637,0.012637
121257,12259,0.012259
121758,12114,0.012114
122259,12718,0.012718
122760,14474,0.014474
123261,15962,0.015962
123762,16016,0.016016
124263,16105,0.016105
124764,16168,0.016168
125265,16248,0.016248
125766,16288,0.016288
126267,16392,0.016392
126768,17826,0.017826
127269,15957,0.015957
127770,12549,0.012549
128271,17071,0.017071
128772,16653,0.016653
129273,16756,0.016756
129774,14602,0.014602
130275,13009,0.013009
130776,12970,0.01297
131277,13145,0.013145
131778,13271,0.013271
132279,13243,0.013243
132780,13223,0.013223
133281,13470,0.01347
133782,13276,0.013276
134283,13600,0.0136
134784,13503,0.013503
135285,13522,0.013522
135786,13604,0.013604
136287,13784,0.013784
136788,13739,0.013739
137289,13899,0.013899
137790,14330,0.01433
138291,14221,0.014221
138792,13991,0.013991
139293,14095,0.014095
139794,14362,0.014362
140295,14597,0.014597
140796,14148,0.014148
141297,14204,0.014204
141798,14195,0.014195
142299,14325,0.014325
142800,14481,0.014481
143301,14447,0.014447
143802,14565,0.014565
144303,14647,0.014647
144804,14851,0.014851
145305,14717,0.014717
145806,14770,0.01477
146307,15007,0.015007
146808,14980,0.01498
147309,14851,0.014851
147810,14916,0.014916
148311,14998,0.014998
148812,15022,0.015022
149313,15285,0.015285
