"length","ticks","seconds"
15,2,2e-06
516,885,0.000885
1017,3020,0.00302
1518,5281,0.005281
2019,7173,0.007173
2520,9672,0.009672
3021,13869,0.013869
3522,18807,0.018807
4023,24521,0.024521
4524,30973,0.030973
5025,38181,0.038181
5526,38322,0.038322
6027,41970,0.04197
6528,50223,0.050223
7029,57217,0.057217
7530,65489,0.065489
8031,98678,0.098678
8532,97555,0.097555
9033,98058,0.098058
9534,106252,0.106252
10035,115620,0.11562
10536,129826,0.129826
11037,139004,0.139004
11538,152040,0.15204
12039,166085,0.166085
12540,190044,0.190044
13041,206628,0.206628
13542,220569,0.220569
14043,224759,0.224759
14544,241519,0.241519
15045,267789,0.267789
15546,284177,0.284177
16047,301735,0.301735
16548,312628,0.312628
17049,371051,0.371051
17550,433279,0.433279
18051,374442,0.374442
18552,409742,0.409742
19053,421066,0.421066
19554,448841,0.448841
20055,474128,0.474128
20556,485429,0.485429
21057,520468,0.520468
21558,532381,0.532381
22059,582345,0.582345
22560,586940,0.58694
23061,672780,0.67278
23562,648004,0.648004
24063,658097,0.658097
24564,703967,0.703967
25065,727180,0.72718
25566,760822,0.760822
26067,796022,0.796022
26568,818965,0.818965
27069,838122,0.838122
27570,882555,0.882555
28071,926809,0.926809
28572,944133,0.944133
29073,973343,0.973343
29574,1017707,1.01771
30075,1075833,1.07583
30576,1101445,1.10144
31077,1239719,1.23972
31578,1225701,1.2257
32079,1264821,1.26482
32580,1338968,1.33897
33081,1355784,1.35578
33582,1307375,1.30737
34083,1531828,1.53183
34584,1546163,1.54616
35085,1446785,1.44678
35586,1527072,1.52707
36087,1618403,1.6184
36588,1591675,1.59168
37089,1599949,1.59995
37590,1677127,1.67713
38091,1696080,1.69608
38592,1855517,1.85552
39093,1809031,1.80903
39594,1814188,1.81419
40095,1860226,1.86023
40596,1920330,1.92033
41097,1976228,1.97623
41598,2140381,2.14038
42099,2157509,2.15751
42600,2152191,2.15219
43101,2246895,2.2469
43602,2233124,2.23312
44103,2284625,2.28463
44604,2304605,2.30461
45105,2329346,2.32935
45606,2378165,2.37817
46107,2514738,2.51474
46608,2548238,2.54824
47109,2744527,2.74453
47610,2667266,2.66727
48111,2711616,2.71162
48612,2815130,2.81513
49113,2932788,2.93279
49614,2854896,2.8549
50115,2976389,2.97639
50616,3132417,3.13242
51117,3006985,3.00698
51618,3133542,3.13354
52119,3187644,3.18764
52620,3441165,3.44116
53121,3385198,3.3852
53622,3426280,3.42628
54123,3365092,3.36509
54624,3513674,3.51367
55125,3614602,3.6146
55626,3681812,3.68181
56127,3684784,3.68478
56628,3807535,3.80753
57129,3928529,3.92853
57630,4050531,4.05053
58131,4055140,4.05514
58632,4069287,4.06929
59133,4243774,4.24377
59634,4204676,4.20468
60135,4300026,4.30003
60636,4409188,4.40919
61137,4314051,4.31405
61638,4516675,4.51667
62139,4543544,4.54354
62640,4635704,4.6357
63141,4608639,4.60864
63642,4877557,4.87756
64143,4990797,4.9908
64644,5045901,5.0459
65145,5051699,5.0517
65646,4889034,4.88903
66147,5085567,5.08557
66648,5297736,5.29774
67149,5131133,5.13113
67650,5345163,5.34516
68151,5325062,5.32506
68652,5626054,5.62605
69153,5542656,5.54266
69654,5592340,5.59234
70155,5925553,5.92555
70656,5889545,5.88954
71157,6028463,6.02846
71658,6154033,6.15403
72159,6117369,6.11737
72660,6203726,6.20373
73161,6365605,6.3656
73662,6371533,6.37153
74163,6511008,6.51101
74664,6612823,6.61282
75165,6651210,6.65121
75666,6748147,6.74815
76167,6945881,6.94588
76668,7075338,7.07534
77169,7009001,7.009
77670,7036701,7.0367
78171,7021739,7.02174
78672,7303524,7.30352
79173,7471475,7.47148
79674,7683163,7.68316
80175,7712540,7.71254
80676,7466868,7.46687
81177,7911165,7.91117
81678,7744634,7.74463
82179,8058768,8.05877
82680,7984618,7.98462
83181,8204171,8.20417
83682,8301649,8.30165
84183,8465774,8.46577
84684,8332982,8.33298
85185,8655080,8.65508
85686,8738171,8.73817
86187,8685918,8.68592
86688,8784287,8.78429
87189,8921530,8.92153
87690,9117642,9.11764
88191,9023163,9.02316
88692,9357848,9.35785
89193,9335846,9.33585
89694,9389116,9.38912
90195,9307066,9.30707
90696,9746316,9.74632
91197,9613681,9.61368
91698,9998671,9.99867
92199,10114898,10.1149
92700,9779327,9.77933
93201,10068019,10.068
93702,10101301,10.1013
94203,10473878,10.4739
94704,10200581,10.2006
95205,10764570,10.7646
95706,10775873,10.7759
96207,10999085,10.9991
96708,10875643,10.8756
97209,11165866,11.1659
97710,11101960,11.102
98211,11538034,11.538
98712,11627656,11.6277
99213,11368730,11.3687
99714,11446814,11.4468
100215,11630010,11.63
100716,11688549,11.6885
101217,12207664,12.2077
101718,12091508,12.0915
102219,12096362,12.0964
102720,11884997,11.885
103221,12155971,12.156
103722,12402980,12.403
104223,12597954,12.598
104724,12483681,12.4837
105225,12399156,12.3992
105726,12921575,12.9216
106227,12669803,12.6698
106728,13005740,13.0057
107229,13340055,13.3401
107730,12997040,12.997
108231,13477746,13.4777
108732,13931850,13.9319
109233,13908853,13.9089
109734,13950963,13.951
110235,13979915,13.9799
110736,14692777,14.6928
111237,14730857,14.7309
111738,14741854,14.7419
112239,14774782,14.7748
112740,15036017,15.036
113241,14749326,14.7493
113742,15161190,15.1612
