"length","ticks","seconds"
15,2,2e-06
1016,189,0.000189
2017,411,0.000411
3018,561,0.000561
4019,756,0.000756
5020,914,0.000914
6021,1063,0.001063
7022,1070,0.00107
8023,1171,0.001171
9024,1257,0.001257
10025,1381,0.001381
11026,1535,0.001535
12027,1692,0.001692
13028,1832,0.001832
14029,1998,0.001998
15030,2154,0.002154
16031,2300,0.0023
17032,2459,0.002459
18033,2626,0.002626
19034,2782,0.002782
20035,2936,0.002936
21036,3113,0.003113
22037,3255,0.003255
23038,3429,0.003429
24039,3562,0.003562
25040,3764,0.003764
26041,3890,0.00389
27042,4064,0.004064
28043,4239,0.004239
29044,4399,0.004399
30045,4614,0.004614
31046,4741,0.004741
32047,4930,0.00493
33048,5047,0.005047
34049,5229,0.005229
35050,5376,0.005376
36051,5611,0.005611
37052,5731,0.005731
38053,5857,0.005857
39054,6058,0.006058
40055,6236,0.006236
41056,6392,0.006392
42057,6542,0.006542
43058,6726,0.006726
44059,6930,0.00693
45060,7085,0.007085
46061,7268,0.007268
47062,7401,0.007401
48063,7597,0.007597
49064,7740,0.00774
50065,7914,0.007914
51066,8083,0.008083
52067,8257,0.008257
53068,8449,0.008449
54069,8662,0.008662
55070,8788,0.008788
56071,8950,0.00895
57072,9131,0.009131
58073,9276,0.009276
59074,7801,0.007801
60075,7405,0.007405
61076,7642,0.007642
62077,7678,0.007678
63078,7865,0.007865
64079,7888,0.007888
65080,8117,0.008117
66081,8272,0.008272
67082,8509,0.008509
68083,8480,0.00848
69084,8628,0.008628
70085,8881,0.008881
71086,8935,0.008935
72087,9157,0.009157
73088,9218,0.009218
74089,9327,0.009327
75090,9495,0.009495
76091,9752,0.009752
77092,9779,0.009779
78093,10267,0.010267
79094,10218,0.010218
80095,10070,0.01007
81096,10303,0.010303
82097,10344,0.010344
83098,10553,0.010553
84099,10690,0.01069
85100,10764,0.010764
86101,11126,0.011126
87102,11087,0.011087
88103,11144,0.011144
89104,15571,0.015571
90105,16004,0.016004
91106,15137,0.015137
92107,15287,0.015287
93108,15431,0.015431
94109,15632,0.015632
95110,13633,0.013633
96111,12981,0.012981
97112,12799,0.012799
98113,12753,0.012753
99114,12926,0.012926
100115,13048,0.013048
101116,13132,0.013132
102117,13366,0.013366
103118,13573,0.013573
104119,13644,0.013644
105120,13776,0.013776
106121,13947,0.013947
107122,14088,0.014088
108123,14627,0.014627
109124,14732,0.014732
110125,14988,0.014988
111126,15043,0.015043
112127,18739,0.018739
113128,19126,0.019126
114129,19276,0.019276
115130,19466,0.019466
116131,19579,0.019579
117132,19770,0.01977
118133,19942,0.019942
119134,20225,0.020225
120135,20338,0.020338
121136,20451,0.020451
122137,16064,0.016064
123138,15857,0.015857
124139,16031,0.016031
125140,16077,0.016077
126141,16256,0.016256
127142,16357,0.016357
128143,16486,0.016486
129144,16644,0.016644
130145,16802,0.016802
131146,17040,0.01704
132147,17025,0.017025
133148,17233,0.017233
134149,17459,0.017459
135150,17557,0.017557
136151,17572,0.017572
137152,17799,0.017799
138153,17872,0.017872
139154,18038,0.018038
140155,18219,0.018219
141156,18277,0.018277
142157,18364,0.018364
143158,20679,0.020679
144159,21251,0.021251
145160,21492,0.021492
146161,20982,0.020982
147162,23822,0.023822
148163,25486,0.025486
149164,25634,0.025634
150165,25856,0.025856
151166,26087,0.026087
152167,26261,0.026261
153168,26545,0.026545
154169,24378,0.024378
155170,20997,0.020997
156171,21063,0.021063
157172,21246,0.021246
158173,21287,0.021287
159174,21396,0.021396
160175,21351,0.021351
161176,21133,0.021133
162177,27660,0.02766
163178,29899,0.029899
164179,21470,0.02147
165180,21738,0.021738
166181,21934,0.021934
167182,21995,0.021995
168183,22186,0.022186
169184,22338,0.022338
170185,22388,0.022388
171186,22590,0.02259
172187,22643,0.022643
173188,22904,0.022904
174189,23011,0.023011
175190,23174,0.023174
176191,23323,0.023323
177192,23392,0.023392
178193,25563,0.025563
179194,26077,0.026077
180195,25577,0.025577
181196,26380,0.02638
182197,26552,0.026552
183198,32018,0.032018
184199,32107,0.032107
185200,32584,0.032584
186201,32651,0.032651
187202,32926,0.032926
188203,32968,0.032968
189204,33131,0.033131
190205,33322,0.033322
191206,33457,0.033457
192207,32317,0.032317
193208,25808,0.025808
194209,25851,0.025851
195210,25835,0.025835
196211,26126,0.026126
197212,26236,0.026236
198213,26454,0.026454
199214,26517,0.026517
200215,26598,0.026598
201216,27036,0.027036
202217,27002,0.027002
203218,27927,0.027927
204219,28300,0.0283
205220,34624,0.034624
206221,36373,0.036373
207222,36706,0.036706
208223,34024,0.034024
209224,28067,0.028067
210225,28091,0.028091
211226,28312,0.028312
212227,28520,0.02852
213228,28526,0.028526
214229,28695,0.028695
215230,28845,0.028845
216231,29076,0.029076
217232,29179,0.029179
218233,30134,0.030134
219234,29472,0.029472
220235,29756,0.029756
221236,29759,0.029759
222237,29718,0.029718
223238,30074,0.030074
224239,30084,0.030084
225240,30836,0.030836
226241,30437,0.030437
227242,30513,0.030513
228243,30720,0.03072
229244,30891,0.030891
230245,30999,0.030999
231246,31128,0.031128
232247,31260,0.03126
233248,34424,0.034424
234249,33032,0.033032
235250,32642,0.032642
236251,32680,0.03268
237252,32966,0.032966
238253,32115,0.032115
239254,32411,0.032411
240255,32360,0.03236
241256,32690,0.03269
242257,32673,0.032673
243258,32887,0.032887
244259,32927,0.032927
245260,33184,0.033184
246261,33147,0.033147
247262,33290,0.03329
248263,33550,0.03355
249264,33724,0.033724
250265,33866,0.033866
251266,34066,0.034066
252267,34192,0.034192
253268,34275,0.034275
254269,34361,0.034361
255270,34628,0.034628
256271,34687,0.034687
257272,36650,0.03665
258273,37530,0.03753
259274,37506,0.037506
260275,36776,0.036776
261276,36828,0.036828
262277,37749,0.037749
263278,38058,0.038058
264279,38099,0.038099
265280,37567,0.037567
266281,37307,0.037307
267282,37521,0.037521
268283,37594,0.037594
269284,37761,0.037761
270285,37960,0.03796
271286,37424,0.037424
272287,37113,0.037113
273288,37292,0.037292
274289,37333,0.037333
275290,37876,0.037876
276291,38562,0.038562
277292,47333,0.047333
278293,49944,0.049944
279294,50182,0.050182
280295,50430,0.05043
281296,40898,0.040898
282297,40123,0.040123
283298,39875,0.039875
284299,40044,0.040044
285300,40278,0.040278
286301,40367,0.040367
287302,39221,0.039221
288303,39317,0.039317
289304,39349,0.039349
290305,39723,0.039723
291306,39790,0.03979
292307,40195,0.040195
293308,40131,0.040131
294309,40376,0.040376
295310,40556,0.040556
296311,40629,0.040629
297312,40667,0.040667
298313,42800,0.0428
299314,45724,0.045724
300315,42484,0.042484
301316,42998,0.042998
302317,42652,0.042652
303318,43018,0.043018
304319,42855,0.042855
305320,43207,0.043207
306321,43262,0.043262
307322,43391,0.043391
308323,43716,0.043716
309324,44046,0.044046
310325,43405,0.043405
311326,42736,0.042736
312327,42969,0.042969
313328,43301,0.043301
314329,43161,0.043161
315330,43182,0.043182
316331,43461,0.043461
317332,46752,0.046752
318333,44521,0.044521
319334,43944,0.043944
320335,44524,0.044524
321336,45534,0.045534
