"length","ticks","seconds"
15,2,2e-06
1016,247,0.000247
2017,510,0.00051
3018,756,0.000756
4019,947,0.000947
5020,1123,0.001123
6021,1263,0.001263
7022,1371,0.001371
8023,1471,0.001471
9024,1544,0.001544
10025,1607,0.001607
11026,1662,0.001662
12027,1837,0.001837
13028,1966,0.001966
14029,2130,0.00213
15030,2301,0.002301
16031,2466,0.002466
17032,2610,0.00261
18033,2836,0.002836
19034,3004,0.003004
20035,3146,0.003146
21036,3368,0.003368
22037,3526,0.003526
23038,3694,0.003694
24039,3876,0.003876
25040,4009,0.004009
26041,4226,0.004226
27042,4457,0.004457
28043,4578,0.004578
29044,4759,0.004759
30045,4941,0.004941
31046,5051,0.005051
32047,5303,0.005303
33048,5505,0.005505
34049,5615,0.005615
35050,5852,0.005852
36051,6001,0.006001
37052,6197,0.006197
38053,6336,0.006336
39054,6517,0.006517
40055,6778,0.006778
41056,6606,0.006606
42057,5617,0.005617
43058,5710,0.00571
44059,5733,0.005733
45060,5893,0.005893
46061,6160,0.00616
47062,6224,0.006224
48063,6394,0.006394
49064,6412,0.006412
50065,6556,0.006556
51066,6729,0.006729
52067,6824,0.006824
53068,7460,0.00746
54069,7627,0.007627
55070,7579,0.007579
56071,7773,0.007773
57072,7845,0.007845
58073,7841,0.007841
59074,7916,0.007916
60075,8186,0.008186
61076,8410,0.00841
62077,8454,0.008454
63078,8491,0.008491
64079,8826,0.008826
65080,9333,0.009333
66081,9361,0.009361
67082,9364,0.009364
68083,9538,0.009538
69084,9716,0.009716
70085,9882,0.009882
71086,10274,0.010274
72087,10722,0.010722
73088,10131,0.010131
74089,10126,0.010126
75090,10164,0.010164
76091,10460,0.01046
77092,10517,0.010517
78093,11073,0.011073
79094,12204,0.012204
80095,12509,0.012509
81096,13094,0.013094
82097,12500,0.0125
83098,13172,0.013172
84099,15113,0.015113
85100,15259,0.015259
86101,15583,0.015583
87102,15976,0.015976
88103,16051,0.016051
89104,16066,0.016066
90105,16312,0.016312
91106,16520,0.01652
92107,16776,0.016776
93108,17141,0.017141
94109,17127,0.017127
95110,17215,0.017215
96111,17555,0.017555
97112,17699,0.017699
98113,17899,0.017899
99114,18564,0.018564
100115,21852,0.021852
101116,18196,0.018196
102117,18751,0.018751
103118,18937,0.018937
104119,19308,0.019308
105120,19158,0.019158
106121,19347,0.019347
107122,19771,0.019771
108123,19789,0.019789
109124,20012,0.020012
110125,20159,0.020159
111126,20374,0.020374
112127,20658,0.020658
113128,20888,0.020888
114129,20924,0.020924
115130,21324,0.021324
116131,21510,0.02151
117132,21568,0.021568
118133,21774,0.021774
119134,22025,0.022025
120135,22166,0.022166
121136,22552,0.022552
122137,22825,0.022825
123138,22867,0.022867
124139,23072,0.023072
125140,19067,0.019067
126141,17789,0.017789
127142,18069,0.018069
128143,18257,0.018257
129144,18104,0.018104
130145,18496,0.018496
131146,18530,0.01853
132147,18742,0.018742
133148,18918,0.018918
134149,19116,0.019116
135150,19089,0.019089
136151,19391,0.019391
137152,19449,0.019449
138153,19717,0.019717
139154,19835,0.019835
140155,19800,0.0198
141156,20147,0.020147
142157,24350,0.02435
143158,27424,0.027424
144159,27995,0.027995
145160,27344,0.027344
146161,28064,0.028064
147162,29084,0.029084
148163,27970,0.02797
