"length","ticks","seconds"
15,2,2e-06
2015,5264,0.005264
4015,20439,0.020439
6015,47503,0.047503
8015,78984,0.078984
10015,123072,0.123072
12015,174102,0.174102
14015,247956,0.247956
16015,322301,0.322301
18015,402820,0.40282
20015,486007,0.486007
22015,596184,0.596184
24015,721945,0.721945
26015,846030,0.84603
28015,971931,0.971931
30015,1106998,1.107
32015,1241321,1.24132
34015,1390210,1.39021
36015,1548980,1.54898
38015,1739111,1.73911
40015,1919335,1.91934
42015,2140107,2.14011
44015,2338985,2.33898
46015,2563380,2.56338
48015,2774139,2.77414
50015,2975403,2.9754
52015,3218081,3.21808
54015,3445741,3.44574
56015,3765170,3.76517
58015,4021639,4.02164
60015,4308473,4.30847
62015,4618228,4.61823
64015,4911743,4.91174
66015,5217838,5.21784
68015,5397228,5.39723
70015,5652131,5.65213
72015,6004969,6.00497
74015,6332363,6.33236
76015,6673533,6.67353
78015,7038587,7.03859
80015,7379608,7.37961
82015,7919394,7.91939
84015,8580529,8.58053
86015,8941051,8.94105
88015,9315994,9.31599
90015,9823326,9.82333
92015,10180058,10.1801
94015,10485366,10.4854
96015,10814545,10.8145
98015,11937869,11.9379
100015,12066868,12.0669
102015,12435927,12.4359
104015,13049772,13.0498
106015,13558401,13.5584
108015,13741404,13.7414
110015,14270270,14.2703
112015,14844549,14.8445
114015,15491394,15.4914
116015,15976138,15.9761
118015,16445708,16.4457
120015,16933562,16.9336
122015,17504215,17.5042
124015,18044343,18.0443
126015,18870637,18.8706
128015,19370022,19.37
130015,19866810,19.8668
132015,20706461,20.7065
134015,21357683,21.3577
136015,21871093,21.8711
138015,22527248,22.5272
140015,23074054,23.0741
142015,23670889,23.6709
