"length","ticks","seconds"
15,1,1e-06
2015,6067,0.006067
4015,22966,0.022966
6015,50877,0.050877
8015,88524,0.088524
10015,142925,0.142925
12015,206801,0.206801
14015,280846,0.280846
16015,361867,0.361867
18015,458909,0.458909
20015,559265,0.559265
22015,678235,0.678235
24015,805636,0.805636
26015,934364,0.934364
28015,1090417,1.09042
30015,1232161,1.23216
32015,1402892,1.40289
34015,1588426,1.58843
36015,1796402,1.7964
38015,1977108,1.97711
40015,2176177,2.17618
42015,2420228,2.42023
44015,2645879,2.64588
46015,2892512,2.89251
48015,3075124,3.07512
50015,3371279,3.37128
52015,3654252,3.65425
54015,3890085,3.89008
56015,4228814,4.22881
58015,4487144,4.48714
60015,4874966,4.87497
62015,5108144,5.10814
64015,5486943,5.48694
66015,5822546,5.82255
68015,6277013,6.27701
70015,6470789,6.47079
72015,6970012,6.97001
74015,7376673,7.37667
76015,7812068,7.81207
78015,8211635,8.21163
80015,8548607,8.54861
82015,8899664,8.89966
84015,9403327,9.40333
86015,9999940,9.99994
88015,10347106,10.3471
90015,10960151,10.9602
92015,11471661,11.4717
94015,12123289,12.1233
96015,12768285,12.7683
98015,13075606,13.0756
100015,13038855,13.0389
102015,14825000,14.825
104015,14311294,14.3113
106015,14901178,14.9012
108015,16072472,16.0725
110015,16315152,16.3152
112015,16832081,16.8321
114015,17570831,17.5708
116015,18473502,18.4735
118015,18821055,18.8211
120015,19718546,19.7185
122015,19954674,19.9547
124015,20571353,20.5714
126015,21428315,21.4283
128015,22206447,22.2064
130015,23061993,23.062
132015,23881910,23.8819
134015,24093475,24.0935
136015,25085170,25.0852
138015,25390052,25.3901
140015,26337022,26.337
142015,27069429,27.0694
144015,28143620,28.1436
146015,28454795,28.4548
