"length","ticks","seconds"
15,2,2e-06
1015,189,0.000189
2015,341,0.000341
3015,500,0.0005
4015,590,0.00059
5015,844,0.000844
6015,956,0.000956
7015,1157,0.001157
8015,1283,0.001283
9015,1524,0.001524
10015,1741,0.001741
11015,1962,0.001962
12015,2101,0.002101
13015,2255,0.002255
14015,2417,0.002417
15015,2621,0.002621
16015,2775,0.002775
17015,2980,0.00298
18015,3324,0.003324
19015,3375,0.003375
20015,3494,0.003494
21015,3840,0.00384
22015,3788,0.003788
23015,4171,0.004171
24015,4842,0.004842
25015,4731,0.004731
26015,4942,0.004942
27015,4801,0.004801
28015,5743,0.005743
29015,5245,0.005245
30015,5751,0.005751
31015,6325,0.006325
32015,6129,0.006129
33015,6121,0.006121
34015,6360,0.00636
35015,6741,0.006741
36015,6848,0.006848
37015,6859,0.006859
38015,7606,0.007606
39015,8214,0.008214
40015,7355,0.007355
41015,7890,0.00789
42015,9160,0.00916
43015,8630,0.00863
44015,8999,0.008999
45015,9195,0.009195
46015,8881,0.008881
47015,9396,0.009396
48015,9533,0.009533
49015,9261,0.009261
50015,9919,0.009919
51015,10459,0.010459
52015,10080,0.01008
53015,11059,0.011059
54015,10366,0.010366
55015,11189,0.011189
56015,10936,0.010936
57015,11062,0.011062
58015,11093,0.011093
59015,11417,0.011417
60015,12687,0.012687
61015,12694,0.012694
62015,12872,0.012872
63015,13112,0.013112
64015,12930,0.01293
65015,12534,0.012534
66015,13726,0.013726
67015,13409,0.013409
68015,13741,0.013741
69015,13369,0.013369
70015,13731,0.013731
71015,14823,0.014823
72015,15477,0.015477
73015,14049,0.014049
74015,14824,0.014824
75015,14971,0.014971
76015,14875,0.014875
77015,15647,0.015647
78015,16176,0.016176
79015,16057,0.016057
80015,16286,0.016286
81015,17245,0.017245
82015,16046,0.016046
83015,16415,0.016415
84015,17415,0.017415
85015,17353,0.017353
86015,17515,0.017515
87015,17456,0.017456
88015,18418,0.018418
89015,17954,0.017954
90015,18982,0.018982
91015,18126,0.018126
92015,18674,0.018674
93015,20122,0.020122
94015,19695,0.019695
95015,19264,0.019264
96015,19492,0.019492
97015,20825,0.020825
98015,19875,0.019875
99015,20365,0.020365
100015,21192,0.021192
101015,21000,0.021
102015,21609,0.021609
103015,21686,0.021686
104015,21097,0.021097
105015,21228,0.021228
106015,21246,0.021246
107015,22059,0.022059
108015,21556,0.021556
109015,22090,0.02209
110015,22244,0.022244
111015,22607,0.022607
112015,23355,0.023355
113015,23435,0.023435
114015,23391,0.023391
115015,24394,0.024394
116015,24716,0.024716
117015,23899,0.023899
118015,25292,0.025292
119015,24911,0.024911
120015,24926,0.024926
121015,25009,0.025009
122015,24950,0.02495
123015,25792,0.025792
124015,25196,0.025196
125015,25789,0.025789
126015,25627,0.025627
127015,26086,0.026086
128015,26619,0.026619
129015,26864,0.026864
130015,26758,0.026758
131015,26768,0.026768
132015,26852,0.026852
133015,28094,0.028094
134015,27963,0.027963
135015,28477,0.028477
