"length","ticks","seconds"
15,3,3e-06
2015,313,0.000313
4015,813,0.000813
6015,972,0.000972
8015,1292,0.001292
10015,1763,0.001763
12015,2116,0.002116
14015,2470,0.00247
16015,3009,0.003009
18015,3040,0.00304
20015,3572,0.003572
22015,4037,0.004037
24015,4533,0.004533
26015,4799,0.004799
28015,5054,0.005054
30015,6082,0.006082
32015,5809,0.005809
34015,6096,0.006096
36015,7211,0.007211
38015,6845,0.006845
40015,8039,0.008039
42015,7755,0.007755
44015,8432,0.008432
46015,8756,0.008756
48015,9343,0.009343
50015,9796,0.009796
52015,10403,0.010403
54015,10627,0.010627
56015,11020,0.01102
58015,12468,0.012468
60015,12307,0.012307
62015,11823,0.011823
64015,12310,0.01231
66015,13157,0.013157
