"length","ticks","seconds"
15,2,2e-06
2015,225,0.000225
4015,362,0.000362
6015,594,0.000594
8015,789,0.000789
10015,1315,0.001315
12015,1239,0.001239
14015,1372,0.001372
16015,1638,0.001638
18015,2100,0.0021
20015,2033,0.002033
22015,2261,0.002261
24015,2715,0.002715
26015,2612,0.002612
28015,3065,0.003065
30015,3257,0.003257
32015,3223,0.003223
34015,4243,0.004243
36015,4088,0.004088
38015,4042,0.004042
40015,4406,0.004406
42015,4416,0.004416
44015,5121,0.005121
46015,5753,0.005753
48015,5729,0.005729
50015,5860,0.00586
52015,5705,0.005705
54015,5978,0.005978
56015,6211,0.006211
58015,6616,0.006616
60015,6856,0.006856
62015,7178,0.007178
64015,6926,0.006926
66015,7332,0.007332
68015,7849,0.007849
70015,9133,0.009133
72015,8955,0.008955
74015,8516,0.008516
76015,8702,0.008702
78015,10300,0.0103
80015,9166,0.009166
82015,9174,0.009174
84015,9825,0.009825
86015,9903,0.009903
88015,9942,0.009942
90015,11454,0.011454
92015,11036,0.011036
94015,10838,0.010838
96015,10965,0.010965
98015,10920,0.01092
100015,11566,0.011566
102015,12187,0.012187
104015,13107,0.013107
106015,12030,0.01203
108015,13170,0.01317
110015,12836,0.012836
112015,14048,0.014048
114015,13881,0.013881
116015,13986,0.013986
118015,13598,0.013598
120015,14034,0.014034
122015,15240,0.01524
124015,14657,0.014657
126015,14515,0.014515
128015,14917,0.014917
130015,16805,0.016805
132015,16369,0.016369
134015,15741,0.015741
136015,17585,0.017585
138015,17024,0.017024
140015,17121,0.017121
142015,16555,0.016555
144015,17103,0.017103
146015,17606,0.017606
148015,18348,0.018348
150015,19131,0.019131
152015,19185,0.019185
154015,18694,0.018694
156015,18907,0.018907
158015,18605,0.018605
160015,20373,0.020373
162015,19884,0.019884
164015,19745,0.019745
166015,20082,0.020082
168015,21234,0.021234
170015,21794,0.021794
172015,20912,0.020912
174015,21666,0.021666
176015,21616,0.021616
178015,21672,0.021672
180015,22783,0.022783
182015,22133,0.022133
184015,23447,0.023447
186015,24347,0.024347
188015,25572,0.025572
190015,22903,0.022903
192015,23634,0.023634
194015,25647,0.025647
196015,24509,0.024509
198015,26054,0.026054
200015,23770,0.02377
202015,26423,0.026423
204015,26014,0.026014
206015,25404,0.025404
208015,26265,0.026265
210015,27692,0.027692
212015,26282,0.026282
214015,26748,0.026748
216015,26926,0.026926
218015,27944,0.027944
220015,28318,0.028318
222015,26718,0.026718
224015,30185,0.030185
226015,27649,0.027649
228015,29377,0.029377
230015,29379,0.029379
232015,29461,0.029461
234015,30511,0.030511
236015,31339,0.031339
238015,29100,0.0291
240015,31114,0.031114
242015,30496,0.030496
244015,30932,0.030932
246015,30278,0.030278
248015,31535,0.031535
250015,32120,0.03212
252015,31611,0.031611
254015,30311,0.030311
256015,31581,0.031581
258015,31839,0.031839
260015,32203,0.032203
262015,34558,0.034558
264015,34602,0.034602
266015,33878,0.033878
268015,34702,0.034702
270015,35315,0.035315
272015,37635,0.037635
274015,33461,0.033461
276015,34354,0.034354
278015,33282,0.033282
280015,35644,0.035644
282015,36533,0.036533
