"length","ticks","seconds"
15,3,3e-06
2015,255,0.000255
4015,536,0.000536
6015,676,0.000676
8015,818,0.000818
10015,993,0.000993
12015,1163,0.001163
14015,1362,0.001362
16015,1483,0.001483
18015,2243,0.002243
20015,2156,0.002156
22015,2479,0.002479
24015,2547,0.002547
26015,2843,0.002843
28015,2733,0.002733
30015,3198,0.003198
32015,3197,0.003197
34015,3247,0.003247
36015,3894,0.003894
38015,4007,0.004007
40015,4241,0.004241
42015,4773,0.004773
44015,4606,0.004606
46015,5439,0.005439
48015,5279,0.005279
50015,5480,0.00548
52015,5581,0.005581
54015,6091,0.006091
56015,5547,0.005547
58015,6947,0.006947
60015,6339,0.006339
62015,6543,0.006543
64015,6871,0.006871
66015,7405,0.007405
68015,7383,0.007383
70015,7657,0.007657
72015,7467,0.007467
74015,8040,0.00804
76015,8409,0.008409
78015,9448,0.009448
80015,9433,0.009433
82015,9507,0.009507
84015,9669,0.009669
86015,9254,0.009254
88015,9713,0.009713
90015,9816,0.009816
92015,10949,0.010949
94015,10508,0.010508
96015,10583,0.010583
98015,11191,0.011191
100015,10463,0.010463
102015,11925,0.011925
104015,11061,0.011061
106015,12121,0.012121
108015,11753,0.011753
110015,12326,0.012326
112015,12360,0.01236
114015,13145,0.013145
116015,12956,0.012956
118015,13121,0.013121
120015,13295,0.013295
122015,13823,0.013823
124015,14818,0.014818
126015,14973,0.014973
128015,14444,0.014444
130015,14629,0.014629
132015,14196,0.014196
134015,14971,0.014971
136015,14637,0.014637
138015,15805,0.015805
140015,16902,0.016902
142015,16629,0.016629
144015,16736,0.016736
146015,17445,0.017445
148015,18056,0.018056
150015,17903,0.017903
152015,17860,0.01786
154015,17896,0.017896
156015,19377,0.019377
158015,17920,0.01792
160015,18724,0.018724
162015,18607,0.018607
164015,20688,0.020688
166015,18887,0.018887
168015,20888,0.020888
170015,20596,0.020596
172015,20339,0.020339
174015,21970,0.02197
176015,20961,0.020961
178015,20760,0.02076
180015,20845,0.020845
182015,21832,0.021832
184015,22941,0.022941
186015,21414,0.021414
188015,21408,0.021408
190015,22220,0.02222
192015,24677,0.024677
194015,22531,0.022531
196015,22633,0.022633
198015,23684,0.023684
200015,23174,0.023174
202015,23925,0.023925
204015,24783,0.024783
206015,24368,0.024368
208015,23740,0.02374
210015,25624,0.025624
212015,26358,0.026358
214015,26917,0.026917
216015,25716,0.025716
218015,27286,0.027286
220015,25602,0.025602
222015,28250,0.02825
224015,25979,0.025979
226015,25765,0.025765
228015,26143,0.026143
230015,27719,0.027719
232015,26931,0.026931
234015,27269,0.027269
236015,27976,0.027976
238015,27927,0.027927
240015,29234,0.029234
242015,28233,0.028233
244015,29304,0.029304
246015,30110,0.03011
248015,30682,0.030682
250015,29772,0.029772
252015,31286,0.031286
254015,30209,0.030209
256015,31648,0.031648
258015,32066,0.032066
260015,33345,0.033345
262015,32096,0.032096
264015,32425,0.032425
266015,31275,0.031275
268015,31054,0.031054
270015,32640,0.03264
272015,31829,0.031829
274015,33846,0.033846
276015,33573,0.033573
278015,32366,0.032366
280015,32772,0.032772
282015,35030,0.03503
284015,34254,0.034254
286015,34244,0.034244
288015,37029,0.037029
290015,33365,0.033365
292015,35193,0.035193
294015,37153,0.037153
296015,36814,0.036814
298015,35620,0.03562
300015,35830,0.03583
302015,37315,0.037315
304015,37168,0.037168
306015,37557,0.037557
308015,37436,0.037436
310015,36860,0.03686
312015,40418,0.040418
314015,40915,0.040915
316015,37660,0.03766
318015,39155,0.039155
320015,38828,0.038828
322015,38555,0.038555
324015,38888,0.038888
326015,42210,0.04221
328015,40742,0.040742
330015,40958,0.040958
332015,42857,0.042857
334015,40980,0.04098
336015,41233,0.041233
338015,41625,0.041625
340015,43498,0.043498
342015,42127,0.042127
344015,43083,0.043083
346015,42665,0.042665
348015,44117,0.044117
350015,42307,0.042307
352015,43475,0.043475
354015,44765,0.044765
356015,44260,0.04426
358015,43954,0.043954
360015,44603,0.044603
362015,46047,0.046047
364015,45148,0.045148
366015,47506,0.047506
368015,44802,0.044802
370015,45879,0.045879
372015,45295,0.045295
374015,45875,0.045875
376015,47166,0.047166
378015,47124,0.047124
380015,46716,0.046716
382015,45865,0.045865
384015,47774,0.047774
386015,47944,0.047944
388015,47214,0.047214
390015,47567,0.047567
392015,47121,0.047121
394015,46695,0.046695
396015,49268,0.049268
398015,49825,0.049825
400015,50207,0.050207
402015,48337,0.048337
404015,48814,0.048814
406015,51625,0.051625
408015,50126,0.050126
410015,49129,0.049129
412015,49750,0.04975
414015,50125,0.050125
416015,51315,0.051315
418015,51727,0.051727
420015,50401,0.050401
422015,55096,0.055096
424015,52816,0.052816
426015,51589,0.051589
428015,51560,0.05156
430015,53176,0.053176
432015,53269,0.053269
434015,51635,0.051635
436015,53982,0.053982
438015,56771,0.056771
440015,55468,0.055468
442015,54349,0.054349
444015,54068,0.054068
446015,54951,0.054951
448015,53366,0.053366
450015,57339,0.057339
452015,54747,0.054747
454015,56317,0.056317
456015,56399,0.056399
458015,57250,0.05725
460015,56314,0.056314
462015,57827,0.057827
464015,58353,0.058353
466015,57276,0.057276
468015,58140,0.05814
470015,57690,0.05769
472015,59017,0.059017
474015,58925,0.058925
476015,59242,0.059242
478015,66323,0.066323
480015,57838,0.057838
482015,59826,0.059826
484015,60807,0.060807
486015,62977,0.062977
488015,62737,0.062737
490015,62057,0.062057
492015,59106,0.059106
494015,60731,0.060731
496015,61296,0.061296
498015,63233,0.063233
500015,64336,0.064336
502015,61720,0.06172
504015,63650,0.06365
506015,64928,0.064928
508015,63565,0.063565
510015,64277,0.064277
512015,64013,0.064013
514015,64912,0.064912
516015,61851,0.061851
518015,66077,0.066077
520015,62608,0.062608
522015,66385,0.066385
524015,66347,0.066347
526015,67069,0.067069
528015,64748,0.064748
530015,65349,0.065349
532015,68471,0.068471
534015,65101,0.065101
536015,66072,0.066072
538015,68647,0.068647
540015,67389,0.067389
542015,67864,0.067864
544015,69254,0.069254
546015,70180,0.07018
548015,67825,0.067825
550015,66836,0.066836
552015,67914,0.067914
554015,70256,0.070256
556015,67724,0.067724
558015,68520,0.06852
560015,68595,0.068595
562015,71960,0.07196
564015,71485,0.071485
566015,73332,0.073332
568015,73616,0.073616
570015,74178,0.074178
572015,70623,0.070623
574015,73849,0.073849
576015,72723,0.072723
578015,73587,0.073587
580015,75748,0.075748
582015,74761,0.074761
584015,72682,0.072682
586015,77029,0.077029
588015,74517,0.074517
590015,72671,0.072671
592015,74285,0.074285
594015,75909,0.075909
596015,72975,0.072975
598015,76990,0.07699
600015,77860,0.07786
602015,76747,0.076747
604015,81182,0.081182
606015,80432,0.080432
608015,79870,0.07987
610015,79564,0.079564
612015,77325,0.077325
614015,80406,0.080406
616015,79083,0.079083
618015,79648,0.079648
620015,80780,0.08078
622015,80638,0.080638
624015,78444,0.078444
626015,78304,0.078304
628015,80539,0.080539
630015,79084,0.079084
632015,82189,0.082189
634015,82004,0.082004
636015,82717,0.082717
638015,81070,0.08107
640015,81056,0.081056
642015,80877,0.080877
644015,85607,0.085607
646015,84582,0.084582
648015,81334,0.081334
650015,82917,0.082917
652015,79140,0.07914
654015,83707,0.083707
656015,84200,0.0842
658015,85856,0.085856
660015,85336,0.085336
662015,84498,0.084498
664015,85016,0.085016
666015,82315,0.082315
668015,88344,0.088344
670015,85286,0.085286
672015,85483,0.085483
674015,83918,0.083918
676015,86640,0.08664
678015,86619,0.086619
680015,86710,0.08671
682015,90704,0.090704
684015,89552,0.089552
686015,89377,0.089377
688015,89524,0.089524
690015,89237,0.089237
692015,87788,0.087788
694015,87277,0.087277
696015,90820,0.09082
698015,87982,0.087982
700015,89191,0.089191
702015,89310,0.08931
704015,89219,0.089219
706015,96039,0.096039
708015,92586,0.092586
710015,92173,0.092173
712015,91461,0.091461
714015,90854,0.090854
716015,93301,0.093301
718015,91570,0.09157
720015,94391,0.094391
722015,93633,0.093633
724015,93380,0.09338
726015,91655,0.091655
728015,91504,0.091504
730015,96067,0.096067
732015,95878,0.095878
734015,93160,0.09316
736015,96047,0.096047
738015,96345,0.096345
740015,97612,0.097612
742015,92927,0.092927
744015,97399,0.097399
746015,94976,0.094976
748015,97367,0.097367
750015,95350,0.09535
752015,96430,0.09643
754015,97816,0.097816
756015,98067,0.098067
758015,94324,0.094324
760015,100343,0.100343
762015,98919,0.098919
764015,96683,0.096683
766015,99131,0.099131
768015,100871,0.100871
770015,97210,0.09721
772015,98976,0.098976
774015,97945,0.097945
776015,98228,0.098228
778015,100954,0.100954
780015,100752,0.100752
782015,104716,0.104716
784015,100735,0.100735
786015,100697,0.100697
788015,101798,0.101798
790015,101867,0.101867
792015,99844,0.099844
794015,103004,0.103004
796015,103368,0.103368
798015,102043,0.102043
800015,104318,0.104318
802015,103996,0.103996
804015,107599,0.107599
806015,103620,0.10362
808015,104370,0.10437
810015,107468,0.107468
812015,106438,0.106438
814015,106232,0.106232
816015,102984,0.102984
818015,106310,0.10631
820015,106911,0.106911
822015,108676,0.108676
824015,109005,0.109005
826015,106961,0.106961
828015,108648,0.108648
830015,106733,0.106733
832015,106111,0.106111
834015,108580,0.10858
836015,110250,0.11025
838015,106939,0.106939
840015,111888,0.111888
842015,107244,0.107244
844015,106326,0.106326
846015,109666,0.109666
848015,110076,0.110076
850015,108642,0.108642
852015,108097,0.108097
854015,108678,0.108678
856015,110136,0.110136
858015,111491,0.111491
860015,108592,0.108592
862015,112682,0.112682
864015,112043,0.112043
866015,111383,0.111383
868015,115182,0.115182
870015,110138,0.110138
872015,111974,0.111974
874015,116220,0.11622
876015,116648,0.116648
878015,115980,0.11598
880015,112869,0.112869
882015,116055,0.116055
884015,114075,0.114075
886015,114614,0.114614
888015,112933,0.112933
890015,114882,0.114882
892015,116391,0.116391
894015,112289,0.112289
896015,118205,0.118205
898015,116842,0.116842
900015,115078,0.115078
902015,119429,0.119429
904015,116954,0.116954
906015,114900,0.1149
908015,118119,0.118119
910015,116726,0.116726
912015,116434,0.116434
914015,120765,0.120765
916015,119301,0.119301
918015,116858,0.116858
920015,117263,0.117263
922015,121654,0.121654
924015,118754,0.118754
926015,121351,0.121351
928015,119708,0.119708
930015,120226,0.120226
932015,119836,0.119836
934015,121641,0.121641
936015,124870,0.12487
938015,121940,0.12194
940015,121682,0.121682
942015,123315,0.123315
944015,122142,0.122142
946015,125600,0.1256
948015,126794,0.126794
950015,125579,0.125579
952015,124217,0.124217
954015,119612,0.119612
956015,123135,0.123135
958015,121532,0.121532
960015,124679,0.124679
962015,128206,0.128206
964015,125128,0.125128
966015,126113,0.126113
968015,126727,0.126727
970015,125617,0.125617
972015,130094,0.130094
974015,127978,0.127978
976015,124438,0.124438
978015,126998,0.126998
980015,129868,0.129868
982015,129096,0.129096
984015,125718,0.125718
986015,128920,0.12892
988015,126964,0.126964
990015,130551,0.130551
992015,125519,0.125519
994015,132344,0.132344
996015,127423,0.127423
998015,131363,0.131363
1000015,132704,0.132704
1002015,131109,0.131109
1004015,128926,0.128926
1006015,128279,0.128279
1008015,131016,0.131016
1010015,130802,0.130802
1012015,129463,0.129463
1014015,131654,0.131654
1016015,131435,0.131435
1018015,129226,0.129226
1020015,133607,0.133607
1022015,133367,0.133367
1024015,133430,0.13343
1026015,132127,0.132127
1028015,135808,0.135808
1030015,134360,0.13436
1032015,138536,0.138536
1034015,140972,0.140972
1036015,132398,0.132398
1038015,133719,0.133719
1040015,132271,0.132271
1042015,135120,0.13512
1044015,142131,0.142131
1046015,137669,0.137669
1048015,136446,0.136446
1050015,135254,0.135254
1052015,135717,0.135717
1054015,143342,0.143342
1056015,134497,0.134497
1058015,137935,0.137935
1060015,135371,0.135371
1062015,138370,0.13837
1064015,139589,0.139589
1066015,139244,0.139244
1068015,137796,0.137796
1070015,135227,0.135227
1072015,137310,0.13731
1074015,139930,0.13993
1076015,140844,0.140844
1078015,143646,0.143646
1080015,138458,0.138458
1082015,140857,0.140857
1084015,141592,0.141592
1086015,141993,0.141993
1088015,139447,0.139447
1090015,138770,0.13877
1092015,142063,0.142063
1094015,144934,0.144934
1096015,143002,0.143002
1098015,142293,0.142293
1100015,148065,0.148065
1102015,146373,0.146373
1104015,147463,0.147463
1106015,145414,0.145414
1108015,142311,0.142311
1110015,147783,0.147783
1112015,146245,0.146245
1114015,145135,0.145135
1116015,149721,0.149721
1118015,145583,0.145583
1120015,145994,0.145994
1122015,147486,0.147486
1124015,148569,0.148569
1126015,147870,0.14787
1128015,148766,0.148766
1130015,147876,0.147876
1132015,148582,0.148582
1134015,148436,0.148436
1136015,145762,0.145762
1138015,149093,0.149093
1140015,151935,0.151935
1142015,149127,0.149127
1144015,146010,0.14601
1146015,146891,0.146891
1148015,153548,0.153548
1150015,152088,0.152088
1152015,151548,0.151548
1154015,152843,0.152843
1156015,152576,0.152576
1158015,152090,0.15209
1160015,153545,0.153545
1162015,157475,0.157475
1164015,154160,0.15416
1166015,156306,0.156306
1168015,155362,0.155362
1170015,152908,0.152908
1172015,157902,0.157902
1174015,151421,0.151421
1176015,155379,0.155379
1178015,152836,0.152836
1180015,150877,0.150877
1182015,153547,0.153547
1184015,156518,0.156518
1186015,156700,0.1567
1188015,155793,0.155793
1190015,160065,0.160065
1192015,158283,0.158283
1194015,156053,0.156053
1196015,154947,0.154947
1198015,154970,0.15497
1200015,156271,0.156271
1202015,161854,0.161854
1204015,158752,0.158752
1206015,158417,0.158417
1208015,163941,0.163941
1210015,159075,0.159075
1212015,159565,0.159565
1214015,162201,0.162201
1216015,167937,0.167937
1218015,163197,0.163197
1220015,159837,0.159837
1222015,162718,0.162718
1224015,160222,0.160222
1226015,162652,0.162652
1228015,162782,0.162782
1230015,167568,0.167568
1232015,165694,0.165694
1234015,165565,0.165565
1236015,165993,0.165993
1238015,169913,0.169913
1240015,160537,0.160537
1242015,163250,0.16325
1244015,168781,0.168781
1246015,165699,0.165699
1248015,164032,0.164032
1250015,166841,0.166841
1252015,166929,0.166929
1254015,170891,0.170891
1256015,170649,0.170649
1258015,163868,0.163868
1260015,166734,0.166734
1262015,172639,0.172639
1264015,171728,0.171728
1266015,168363,0.168363
1268015,169244,0.169244
1270015,168299,0.168299
1272015,166740,0.16674
1274015,173030,0.17303
1276015,170955,0.170955
1278015,169869,0.169869
1280015,168263,0.168263
1282015,172699,0.172699
1284015,172628,0.172628
1286015,171239,0.171239
1288015,172440,0.17244
1290015,170021,0.170021
1292015,172918,0.172918
1294015,173943,0.173943
1296015,175937,0.175937
1298015,171429,0.171429
1300015,174750,0.17475
1302015,174184,0.174184
1304015,170833,0.170833
1306015,172806,0.172806
1308015,176006,0.176006
1310015,171405,0.171405
1312015,174609,0.174609
1314015,175894,0.175894
1316015,178331,0.178331
1318015,177275,0.177275
1320015,178929,0.178929
1322015,177066,0.177066
1324015,176698,0.176698
1326015,174902,0.174902
1328015,176097,0.176097
1330015,174893,0.174893
1332015,178142,0.178142
1334015,181883,0.181883
1336015,176636,0.176636
1338015,181116,0.181116
